a1,a2,a3,a4,a5,a6,a7,n1,n2,t_half_Lead,v_max_Lead,t_half_Lagg,v_max_Lagg,LeadRecruitError,LaggRecruitError,CytoError,LeadRecoveryError,LaggRecoveryError,mmh
0.4569111919,0.49900032,0.6451843879,0.6668476527,60765986325523,0.002403461277,3.99E-05,1.143793802,1.002855517,17.72309753,1.318872598,14.43222715,1.170309876,0.06256342618,0.09898050503,0.1440112256,1.262423547,2.450969733,1
0.6969625835,0.5429468821,0.6762488106,39.03316328,1271174027324,0.00278071206,0.0004937359162,1.040039758,0.9892383227,11.27642812,1.209638849,13.11945923,1.149805809,0.08899912743,0.1291087062,0.1426093061,2.107021993,1.984034335,1
0.5988223353,0.5439061587,3.422498043,2.223549903,0.2562785729,0.00213429074,4.45E-14,1.080062509,1.459542518,12.81690997,1.214595676,13.826792,1.250863073,0.1051949248,0.1112096714,0.2452403772,1.456991587,1.060455676,1
0.7208379831,0.5486029346,0.6990086174,513364882382,29.08608992,0.002552615076,2.11E-04,1.030031984,0.9963484488,10.70367796,1.185299063,13.08174615,1.158005431,0.1290040391,0.1439415235,0.1594899465,2.184095577,1.830670417,1
0.5391549592,0.3958024829,23.43996687,1.471696913,0.1385602347,0.01254184058,1.27E-02,1.11000301,2.10931185,14.32967094,1.240786179,18.47595749,1.408307368,0.06038781336,0.229215959,0.2400434815,1.240007131,1.48500894,1
0.5605467382,0.5068126868,4.477708536,1.343900537,0.2060010591,0.008756945255,7.94E-03,1.094907638,1.550463654,14.04621058,1.254925274,14.45041769,1.215936307,0.1273509258,0.1541069625,0.1852463569,1.306861788,1.762872542,1
0.7782787849,0.6441996445,0.9139267815,1162067922013,16212135316841,0.002348901378,2.31E-06,1.006116387,1.041114843,9.502712902,1.142256631,11.64992056,1.180976154,0.2378615617,0.1152613172,0.1663282879,2.420764237,1.043393756,1
0.689200391,0.7104358885,1.019112863,2.186732929,1.351478983,0.009147140866,0.008527624547,1.0348824,1.025143054,10.91099068,1.157104741,9.719786536,1.092280048,0.2127141596,0.2142030953,0.2985511998,1.816877264,1.512902582,1
0.6501588099,0.5963413049,0.6894094184,2.24086121,645917878.4,0.002010301177,1.28E-05,1.052112371,0.9623419509,11.80417926,1.194330792,11.48417587,1.094764638,0.1254180956,0.2341530493,0.235135816,1.699750837,1.957658674,1
0.6579191589,0.6423511336,1.314083738,6005503282,0.8349634653,0.001990394361,1.21E-12,1.059554151,1.141896846,11.84561318,1.206992736,11.61007905,1.1873825,0.1438115497,0.1064357648,0.1685890128,1.793369874,1.009013901,1
